layer,direction,intervention,category,document_index,baseline_compliance,post_intervention_compliance,reasoning_closed,hit_max_new_tokens
8,V4->V0,norm_matched_random,norm-matched random,4,1,1,1,0
8,V0->V5,activation_patch,natural V0↔V5,5,0,0,1,0
8,V0->V5,norm_matched_random,norm-matched random,5,0,0,1,0
8,V5->V0,activation_patch,natural V0↔V5,5,1,0,1,0
8,V5->V0,norm_matched_random,norm-matched random,5,1,1,1,0
8,V0->V4,activation_patch,V0↔V4 control,5,1,1,1,0
8,V0->V4,norm_matched_random,norm-matched random,5,1,1,1,0
8,V4->V0,activation_patch,V0↔V4 control,5,1,1,1,0
8,V4->V0,norm_matched_random,norm-matched random,5,1,0,1,0
24,V0->V5,activation_patch,natural V0↔V5,0,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,0,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,0,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,0,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,0,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,0,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,0,1,1,1,0
24,V4->V0,norm_matched_random,norm-matched random,0,1,1,1,0
24,V0->V5,activation_patch,natural V0↔V5,1,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,1,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,1,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,1,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,1,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,1,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,1,1,1,1,0
24,V4->V0,norm_matched_random,norm-matched random,1,1,1,1,0
24,V0->V5,activation_patch,natural V0↔V5,2,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,2,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,2,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,2,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,2,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,2,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,2,1,1,1,0
24,V4->V0,norm_matched_random,norm-matched random,2,1,1,1,0
24,V0->V5,activation_patch,natural V0↔V5,3,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,3,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,3,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,3,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,3,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,3,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,3,1,1,1,0
24,V4->V0,norm_matched_random,norm-matched random,3,1,1,1,0
24,V0->V5,activation_patch,natural V0↔V5,4,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,4,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,4,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,4,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,4,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,4,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,4,1,1,1,0
24,V4->V0,norm_matched_random,norm-matched random,4,1,1,1,0
24,V0->V5,activation_patch,natural V0↔V5,5,0,0,1,0
24,V0->V5,norm_matched_random,norm-matched random,5,0,0,1,0
24,V5->V0,activation_patch,natural V0↔V5,5,1,1,1,0
24,V5->V0,norm_matched_random,norm-matched random,5,1,1,1,0
24,V0->V4,activation_patch,V0↔V4 control,5,1,1,1,0
24,V0->V4,norm_matched_random,norm-matched random,5,1,1,1,0
24,V4->V0,activation_patch,V0↔V4 control,5,1,0,1,0
24,V4->V0,norm_matched_random,norm-matched random,5,1,0,1,0
