prompt_ix,base_ix,target_role
303,101,user
304,101,assistant
305,101,tool
306,102,user
307,102,assistant
308,102,tool
309,103,user
310,103,assistant
311,103,tool
312,104,user
313,104,assistant
314,104,tool
315,105,user
316,105,assistant
317,105,tool
318,106,user
319,106,assistant
320,106,tool
321,107,user
322,107,assistant
323,107,tool
324,108,user
325,108,assistant
326,108,tool
327,109,user
328,109,assistant
329,109,tool
330,110,user
331,110,assistant
332,110,tool
333,111,user
334,111,assistant
335,111,tool
336,112,user
337,112,assistant
338,112,tool
339,113,user
340,113,assistant
341,113,tool
342,114,user
343,114,assistant
344,114,tool
345,115,user
346,115,assistant
347,115,tool
348,116,user
349,116,assistant
350,116,tool
351,117,user
352,117,assistant
353,117,tool
354,118,user
355,118,assistant
356,118,tool
357,119,user
358,119,assistant
359,119,tool
360,120,user
361,120,assistant
362,120,tool
363,121,user
364,121,assistant
365,121,tool
366,122,user
367,122,assistant
368,122,tool
369,123,user
370,123,assistant
371,123,tool
372,124,user
373,124,assistant
374,124,tool
375,125,user
376,125,assistant
377,125,tool
378,126,user
379,126,assistant
380,126,tool
381,127,user
382,127,assistant
383,127,tool
384,128,user
385,128,assistant
386,128,tool
387,129,user
388,129,assistant
389,129,tool
390,130,user
391,130,assistant
392,130,tool
393,131,user
394,131,assistant
395,131,tool
396,132,user
397,132,assistant
398,132,tool
399,133,user
400,133,assistant
401,133,tool
402,134,user
403,134,assistant
404,134,tool
405,135,user
406,135,assistant
407,135,tool
408,136,user
409,136,assistant
410,136,tool
411,137,user
412,137,assistant
413,137,tool
414,138,user
415,138,assistant
416,138,tool
417,139,user
418,139,assistant
419,139,tool
420,140,user
421,140,assistant
422,140,tool
423,141,user
424,141,assistant
425,141,tool
426,142,user
427,142,assistant
428,142,tool
429,143,user
430,143,assistant
431,143,tool
432,144,user
433,144,assistant
434,144,tool
435,145,user
436,145,assistant
437,145,tool
438,146,user
439,146,assistant
440,146,tool
441,147,user
442,147,assistant
443,147,tool
444,148,user
445,148,assistant
446,148,tool
447,149,user
448,149,assistant
449,149,tool
450,150,user
451,150,assistant
452,150,tool
453,151,user
454,151,assistant
455,151,tool
456,152,user
457,152,assistant
458,152,tool
459,153,user
460,153,assistant
461,153,tool
462,154,user
463,154,assistant
464,154,tool
465,155,user
466,155,assistant
467,155,tool
468,156,user
469,156,assistant
470,156,tool
471,157,user
472,157,assistant
473,157,tool
474,158,user
475,158,assistant
476,158,tool
477,159,user
478,159,assistant
479,159,tool
480,160,user
481,160,assistant
482,160,tool
483,161,user
484,161,assistant
485,161,tool
486,162,user
487,162,assistant
488,162,tool
489,163,user
490,163,assistant
491,163,tool
492,164,user
493,164,assistant
494,164,tool
495,165,user
496,165,assistant
497,165,tool
498,166,user
499,166,assistant
500,166,tool
501,167,user
502,167,assistant
503,167,tool
504,168,user
505,168,assistant
506,168,tool
507,169,user
508,169,assistant
509,169,tool
510,170,user
511,170,assistant
512,170,tool
513,171,user
514,171,assistant
515,171,tool
516,172,user
517,172,assistant
518,172,tool
519,173,user
520,173,assistant
521,173,tool
522,174,user
523,174,assistant
524,174,tool
525,175,user
526,175,assistant
527,175,tool
528,176,user
529,176,assistant
530,176,tool
531,177,user
532,177,assistant
533,177,tool
534,178,user
535,178,assistant
536,178,tool
537,179,user
538,179,assistant
539,179,tool
540,180,user
541,180,assistant
542,180,tool
543,181,user
544,181,assistant
545,181,tool
546,182,user
547,182,assistant
548,182,tool
549,183,user
550,183,assistant
551,183,tool
552,184,user
553,184,assistant
554,184,tool
555,185,user
556,185,assistant
557,185,tool
558,186,user
559,186,assistant
560,186,tool
561,187,user
562,187,assistant
563,187,tool
564,188,user
565,188,assistant
566,188,tool
567,189,user
568,189,assistant
569,189,tool
570,190,user
571,190,assistant
572,190,tool
573,191,user
574,191,assistant
575,191,tool
576,192,user
577,192,assistant
578,192,tool
579,193,user
580,193,assistant
581,193,tool
582,194,user
583,194,assistant
584,194,tool
585,195,user
586,195,assistant
587,195,tool
588,196,user
589,196,assistant
590,196,tool
591,197,user
592,197,assistant
593,197,tool
594,198,user
595,198,assistant
596,198,tool
597,199,user
598,199,assistant
599,199,tool
600,200,user
601,200,assistant
602,200,tool
603,201,user
604,201,assistant
605,201,tool
606,202,user
607,202,assistant
608,202,tool
609,203,user
610,203,assistant
611,203,tool
612,204,user
613,204,assistant
614,204,tool
615,205,user
616,205,assistant
617,205,tool
618,206,user
619,206,assistant
620,206,tool
621,207,user
622,207,assistant
623,207,tool
624,208,user
625,208,assistant
626,208,tool
627,209,user
628,209,assistant
629,209,tool
630,210,user
631,210,assistant
632,210,tool
633,211,user
634,211,assistant
635,211,tool
636,212,user
637,212,assistant
638,212,tool
639,213,user
640,213,assistant
641,213,tool
642,214,user
643,214,assistant
644,214,tool
645,215,user
646,215,assistant
647,215,tool
648,216,user
649,216,assistant
650,216,tool
651,217,user
652,217,assistant
653,217,tool
654,218,user
655,218,assistant
656,218,tool
657,219,user
658,219,assistant
659,219,tool
660,220,user
661,220,assistant
662,220,tool
663,221,user
664,221,assistant
665,221,tool
666,222,user
667,222,assistant
668,222,tool
669,223,user
670,223,assistant
671,223,tool
672,224,user
673,224,assistant
674,224,tool
675,225,user
676,225,assistant
677,225,tool
678,226,user
679,226,assistant
680,226,tool
681,227,user
682,227,assistant
683,227,tool
684,228,user
685,228,assistant
686,228,tool
687,229,user
688,229,assistant
689,229,tool
690,230,user
691,230,assistant
692,230,tool
693,231,user
694,231,assistant
695,231,tool
696,232,user
697,232,assistant
698,232,tool
699,233,user
700,233,assistant
701,233,tool
702,234,user
703,234,assistant
704,234,tool
705,235,user
706,235,assistant
707,235,tool
708,236,user
709,236,assistant
710,236,tool
711,237,user
712,237,assistant
713,237,tool
714,238,user
715,238,assistant
716,238,tool
717,239,user
718,239,assistant
719,239,tool
720,240,user
721,240,assistant
722,240,tool
723,241,user
724,241,assistant
725,241,tool
726,242,user
727,242,assistant
728,242,tool
729,243,user
730,243,assistant
731,243,tool
732,244,user
733,244,assistant
734,244,tool
735,245,user
736,245,assistant
737,245,tool
738,246,user
739,246,assistant
740,246,tool
741,247,user
742,247,assistant
743,247,tool
744,248,user
745,248,assistant
746,248,tool
